                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.75603,                 0.7164,                 1.0635,                0.95722,                 0.9323,                0.96145,                0.83013,                0.59357,                0.60369,                 1.0171,             0.00066477,             0.00066477,             0.00066477
                    105,                0.80229,                0.71521,                 1.0845,                0.96391,                0.94087,                0.96454,                0.84554,                0.54563,                0.58667,                0.99296,             0.00066312,             0.00066312,             0.00066312
                    106,                0.77657,                0.73056,                 1.0945,                0.93574,                0.93796,                0.96212,                0.84889,                0.53826,                0.59201,                0.98877,             0.00066147,             0.00066147,             0.00066147
                    107,                0.79558,                0.75066,                 1.1168,                0.95945,                0.93652,                0.96683,                0.85019,                0.53486,                0.57725,                0.98928,             0.00065982,             0.00065982,             0.00065982
                    108,                0.75139,                0.68676,                 1.0659,                0.94977,                0.93992,                0.96532,                0.83189,                0.58838,                0.60207,                 1.0141,             0.00065817,             0.00065817,             0.00065817
                    109,                0.80185,                0.69766,                 1.0777,                0.92868,                0.91612,                0.95841,                0.83692,                 0.5668,                0.62555,                0.99397,             0.00065652,             0.00065652,             0.00065652
                    110,                0.78182,                0.72577,                 1.0813,                0.92197,                0.92003,                0.95927,                0.83831,                0.55881,                0.63685,                0.98829,             0.00065487,             0.00065487,             0.00065487
                    111,                0.72794,                0.73109,                 1.0716,                0.95656,                0.93739,                0.96628,                0.85146,                0.53585,                0.56332,                0.98278,             0.00065322,             0.00065322,             0.00065322
                    112,                0.77478,                0.77205,                  1.072,                0.93688,                0.94106,                0.96313,                0.84307,                0.55116,                0.59777,                 0.9946,             0.00065157,             0.00065157,             0.00065157
                    113,                0.73838,                0.72883,                 1.0612,                0.93524,                0.95284,                0.96547,                0.85057,                0.53078,                0.57009,                0.98263,             0.00064992,             0.00064992,             0.00064992
                    114,                0.73691,                 0.7061,                 1.0696,                0.94359,                0.93337,                0.96209,                0.84314,                0.54423,                0.59152,                0.98713,             0.00064827,             0.00064827,             0.00064827
                    115,                0.75061,                0.70285,                 1.0486,                0.95283,                 0.9208,                0.96359,                0.83419,                0.55501,                0.61275,                0.99723,             0.00064662,             0.00064662,             0.00064662
                    116,                0.82145,                0.72904,                 1.0789,                0.83483,                0.89818,                0.90825,                0.79187,                0.54775,                0.76003,                0.99533,             0.00064498,             0.00064498,             0.00064498
                    117,                0.75461,                0.71058,                 1.0661,                0.93652,                0.90782,                0.96038,                0.82403,                0.61178,                0.62555,                 1.0192,             0.00064333,             0.00064333,             0.00064333
                    118,                0.77066,                 0.6987,                  1.068,                0.96788,                 0.9233,                0.96727,                0.82816,                0.61171,                0.57108,                 1.0219,             0.00064168,             0.00064168,             0.00064168
                    119,                0.77053,                0.71569,                 1.0883,                 0.9691,                 0.9345,                0.96869,                0.84995,                0.54451,                0.57872,                0.98574,             0.00064003,             0.00064003,             0.00064003
                    120,                0.81986,                0.75608,                  1.111,                0.94161,                0.92533,                 0.9577,                0.83051,                0.56256,                0.60708,                 1.0057,             0.00063838,             0.00063838,             0.00063838
                    121,                0.77474,                0.70547,                 1.0896,                0.95182,                 0.9428,                0.96501,                0.83305,                0.59364,                0.59567,                 1.0021,             0.00063673,             0.00063673,             0.00063673
                    122,                0.79088,                0.71145,                 1.1009,                0.92357,                0.92679,                0.96245,                0.85389,                0.52827,                0.59275,                0.97634,             0.00063508,             0.00063508,             0.00063508
                    123,                0.79575,                0.71151,                 1.0422,                 0.9684,                 0.9349,                 0.9681,                0.85659,                0.52908,                0.53335,                0.97447,             0.00063343,             0.00063343,             0.00063343
                    124,                0.71662,                0.68332,                 1.0364,                0.95435,                0.93333,                0.96788,                0.85942,                0.52633,                0.54576,                0.96893,             0.00063178,             0.00063178,             0.00063178
                    125,                0.73944,                0.66933,                 1.0635,                0.96076,                0.94652,                0.97041,                0.86281,                0.51836,                0.51638,                0.96885,             0.00063013,             0.00063013,             0.00063013
                    126,                0.71346,                0.63077,                 1.0233,                0.96577,                0.94702,                0.97006,                0.86053,                 0.5236,                0.52333,                0.97372,             0.00062848,             0.00062848,             0.00062848
                    127,                0.74292,                0.67735,                 1.0421,                0.95806,                0.93366,                0.96432,                0.84801,                0.53191,                0.54419,                0.97273,             0.00062683,             0.00062683,             0.00062683
                    128,                 0.7206,                0.67441,                 1.0437,                  0.956,                0.94667,                0.96562,                0.85258,                0.52541,                0.53276,                0.96969,             0.00062518,             0.00062518,             0.00062518
                    129,                0.72819,                0.65309,                 1.0481,                0.96173,                 0.9568,                0.96544,                0.84786,                 0.5273,                0.50878,                0.97114,             0.00062353,             0.00062353,             0.00062353
                    130,                0.71646,                0.64785,                 1.0212,                0.96378,                0.94349,                 0.9608,                0.84588,                0.53617,                0.53963,                0.98039,             0.00062188,             0.00062188,             0.00062188
                    131,                0.73339,                0.66764,                 1.0332,                0.96191,                0.94943,                0.96814,                0.85916,                0.51294,                0.52281,                0.96887,             0.00062024,             0.00062024,             0.00062024
                    132,                0.75853,                0.67852,                 1.0706,                0.94431,                0.93814,                0.96622,                0.86189,                0.50387,                0.52749,                0.96385,             0.00061859,             0.00061859,             0.00061859
                    133,                0.72362,                 0.6782,                 1.0722,                 0.9505,                0.93699,                0.96734,                0.85877,                0.51826,                 0.5365,                 0.9669,             0.00061694,             0.00061694,             0.00061694
                    134,                0.72559,                 0.6767,                 1.0547,                0.95438,                0.95665,                0.96652,                 0.8498,                0.53277,                 0.5553,                0.97329,             0.00061529,             0.00061529,             0.00061529
                    135,                0.73092,                0.65595,                 1.0399,                0.97065,                0.94218,                0.96851,                0.85878,                0.50527,                0.53458,                 0.9662,             0.00061364,             0.00061364,             0.00061364
                    136,                0.73346,                0.68382,                 1.0554,                0.95613,                0.94946,                0.96599,                0.86606,                0.48667,                0.50971,                0.94822,             0.00061199,             0.00061199,             0.00061199
                    137,                0.66263,                0.62513,                 1.0101,                 0.9393,                0.95365,                0.96794,                0.85105,                0.53724,                0.52327,                0.96965,             0.00061034,             0.00061034,             0.00061034
                    138,                0.69602,                 0.6412,                 1.0425,                0.95384,                 0.9494,                0.96893,                0.86538,                0.48838,                0.51777,                0.95383,             0.00060869,             0.00060869,             0.00060869
                    139,                0.72879,                0.65664,                 1.0746,                0.96351,                0.93277,                0.96411,                0.85437,                0.50829,                0.50729,                0.96356,             0.00060704,             0.00060704,             0.00060704
                    140,                0.74639,                0.66888,                 1.0809,                0.96686,                0.92979,                0.96601,                0.85661,                0.51986,                0.55713,                0.96728,             0.00060539,             0.00060539,             0.00060539
                    141,                0.73428,                0.68176,                 1.0587,                0.96089,                0.94738,                0.96783,                0.84991,                0.52951,                 0.5163,                0.97424,             0.00060374,             0.00060374,             0.00060374
